Id,Title,Tags,CreationDate,Score,AnswerCount,ViewCount
"332289","How do you change the size of figures drawn with matplotlib?","<python><graph><matplotlib><plot><visualization>","2008-12-01 21:24:44","942","13","988279"
"9622163","Save plot to image file instead of displaying it using Matplotlib","<python><matplotlib>","2012-03-08 17:38:10","652","12","792216"
"19410042","How to make IPython notebook matplotlib plot inline","<python><matplotlib><ipython><ipython-notebook>","2013-10-16 17:34:42","542","10","624073"
"4700614","How to put the legend out of the plot","<python><matplotlib><legend>","2011-01-15 16:10:03","526","16","389669"
"3584805","In Matplotlib, what does the argument mean in fig.add_subplot(111)?","<python><matplotlib><figure>","2010-08-27 13:50:42","335","4","156222"
"8213522","When to use cla(), clf() or close() for clearing a plot in matplotlib?","<matplotlib>","2011-11-21 14:38:03","320","2","367493"
"21784641","Installation Issue with matplotlib Python","<python><macos><matplotlib><anaconda>","2014-02-14 16:34:07","269","1","87773"
"12444716","How do I set the figure title and axes labels font size in Matplotlib?","<python><matplotlib>","2012-09-16 05:54:36","263","3","495871"
"3899980","How to change the font size on a matplotlib plot","<python><matplotlib><font-size>","2010-10-10 10:43:27","262","9","380907"
"773814","Plot logarithmic axes with matplotlib in python","<python><matplotlib><scale><logarithm>","2009-04-21 18:00:26","249","6","382511"
"2801882","Generating a PNG with matplotlib when DISPLAY is undefined","<python><matplotlib><graph>","2010-05-10 10:22:33","240","11","135194"
"2849286","Python, Matplotlib, subplot: How to set the axis range?","<python><range><axis><matplotlib>","2010-05-17 13:12:57","232","3","578725"
"12608788","Changing the ""tick frequency"" on x or y axis in matplotlib?","<python><matplotlib>","2012-09-26 19:12:53","230","9","379655"
"6146778","matplotlib Legend Markers Only Once","<python><matplotlib>","2011-05-27 01:08:06","214","2","45885"
"2176424","Hiding axis text in matplotlib plots","<python><matplotlib><plot>","2010-02-01 11:56:52","213","5","218740"
"3777861","setting y-axis limit in matplotlib","<python><matplotlib>","2010-09-23 11:32:39","212","4","431664"
